Timestamp,Nama ,Email,"Ketika saya membeli cemilan secara online, saya merasa kualitas produk adalah ","Ketika saya membeli cemilan secara online, saya merasa kesesuaian  harga adalah ","Ketika saya membeli cemilan secara online, saya merasa kualitas layanan adalah ","Ketika kami membeli cemilan secara online, saya merasa tampilan dari toko online ",Menurut saya tingkat kepuasan berbelanja cemilan pada online shop adalah 
10/25/2021 9:31:00,Jindra Prayoga,nainggolan.ciaobella@yahoo.com,Cukup,Kurang,Cukup,Menarik,Puas
10/25/2021 9:31:41,Ibrani Wasita,nyana.narpati@yahoo.co.id,Kurang,Cukup,Cukup,Tidak,Puas
10/25/2021 9:32:39,Zalindra Hassanah,megantara.yunita@yahoo.co.id,Cukup,Sesuai,Bagus,Menarik,Puas
10/25/2021 9:35:28,Vanesa Utami,jwahyudin@yahoo.co.id,Cukup,Cukup,Cukup,Tidak,Puas
10/25/2021 9:36:14,Maryanto Nugroho,rahmawati.maria@yahoo.co.id,Cukup,Sesuai,Cukup,Menarik,Puas
10/25/2021 9:38:58,Gaman Maulana,marbun.hilda@gmail.com,Kurang,Cukup,Kurang,Tidak,Tidak puas
10/25/2021 9:43:10,Ulya Mayasari,patricia.sudiati@yahoo.com,Cukup,Sesuai,Kurang,Menarik,Puas
10/25/2021 9:44:12,Eli Uyainah,adriansyah.kamaria@agustina.asia,Baik,Cukup,Kurang,Menarik,Puas
10/25/2021 9:45:03,Ratna Riyanti,dongoran.nabila@yahoo.com,Cukup,Sesuai,Kurang,Menarik,Puas
10/25/2021 9:45:46,Ilsa Wastuti ,luis.rahmawati@puspasari.asia,Cukup,Cukup,Cukup,Menarik,Puas
10/25/2021 9:50:27,Cahya Prabowo ,malika.siregar@gmail.co.id,Cukup,Sesuai,Kurang,Menarik,Puas
10/25/2021 9:52:55,Eka Maryati,aryani.cornelia@yahoo.com,Cukup,Cukup,Cukup,Menarik,Puas
10/25/2021 9:53:33,Lembah Prakasa,zsuryono@yahoo.co.id,Cukup,Sesuai,Kurang,Menarik,Puas
10/25/2021 9:56:39,Ian Wibisono,bsihombing@gmail.com,Cukup,Sesuai,Kurang,Menarik,Tidak puas
10/25/2021 9:59:06,Satya Narpati,mustofa.waluyo@gmail.co.id,Baik,Sesuai,Cukup,Menarik,Puas
10/25/2021 9:59:49,Purwanto Wahyudin,septi57@gmail.com,Kurang,Cukup,Cukup,Menarik,Puas
10/25/2021 10:00:47,Ifa Nurdiyanti,gwibowo@yahoo.com,Cukup,Sesuai,Cukup,Menarik,Tidak puas
10/25/2021 10:01:36,Diana Oktaviani,rhutagalung@yahoo.com,Cukup,Sesuai,Cukup,Menarik,Puas
10/25/2021 10:02:16,Warsita Wijaya,ratna03@yahoo.co.id,Kurang,Kurang,Cukup,Tidak,Puas
10/25/2021 10:03:19,Kajen Manullang,gandewa22@gmail.com,Baik,Cukup,Kurang,Menarik,Puas
10/25/2021 10:04:09,Cawisadi Putra,rusman58@yahoo.co.id,Baik,Cukup,Bagus,Menarik,Puas
10/25/2021 10:04:58,Jasmin Widiastuti ,hsuryatmi@yahoo.co.id,Baik,Cukup,Kurang,Tidak,Puas
